W	assistance	noun	/əˈsɪstəns/	sta	as-（ad- 靠近）+ sist（sistere 立）+ -ance → 站到旁边把力气借出去 → 援助	拉丁语 assistentia ← assistere：ad-（靠近）+ sistere（站立）；sistere 是 stare 的重叠形	help or support given to someone who needs it	他一个人扛不动那头，另一个走过来托住一角，两人同时把它抬离地面	援助/帮助	The charity offers assistance to homeless families. | She walked upstairs without any assistance.	standing beside someone to take part of the load – 站到旁边替人分担一份重量	援助：站到旁边把自己的力气借出去|帮助：同一件事在日常小事上的说法	
W	cord	noun	/kɔːd/			古法语 corde ← 拉丁语 chorda（琴弦、肠制的弦）← 希腊语 khorde（肠、弦）；与拉丁语 cor（心）同形而不同源，与 chord 是一对同源双式词	a length of thick string or thin rope, or an insulated electrical wire	两股麻拧在一起，两头磨得发白，捆过很多回，边上起了毛	绳索/电线/细绳	He tied the box with a nylon cord. | The lamp cord runs behind the sofa.	a twisted length strong enough to bind things – 拧成一股、拉得住东西的那一段	绳索/细绳：拧成股的那一段，捆东西用|电线：外面包一层皮的那一根，形状与用法都照着它来	
W	interfere	verb	/ˌɪntəˈfɪə/			古法语 entre-（在中间）+ ferir（击打）← 拉丁语 ferire（打、击中）——两下从中间互击；与表「搬运」的 fer- 一支不同源	to get involved in something without being asked, or to disturb a signal	两人正说着，第三个声音从中间插进来，谁的话都听不完整	干涉/干预/干扰	Do not interfere in other people's business. | Tall buildings interfere with the signal.	striking in from between so the two no longer meet clean – 从中间插进来打一下，两头就接不干净了	干涉/干预：把自己插到别人中间去搅一脚|干扰：插进来的是杂音杂物，传过去的东西就不干净	
W	complain	verb	/kəmˈpleɪn/			中世纪拉丁语 complangere（拍胸哀号）：com-（一同）+ plangere（拍打、击打），经古法语入英语；与表「平」的那一支同形而不同源	to say that you are unhappy or that something is wrong	队排到窗口，他把单子往台面上一拍，声音比刚才高了两度	抱怨/投诉/诉说	She complained about the cold soup. | Guests complained to the manager twice.	beating the chest so others hear the hurt – 拍着胸口出声，让旁人听见这份不好受	抱怨：出声说自己不好受|投诉：把这份不好受正式递到管事的人跟前|诉说：说的是身上的病痛苦处	
W	complaint	noun	/kəmˈpleɪnt/			古法语 compleinte（动词 compleindre 的过去分词名词化）← 中世纪拉丁语 complangere：com-（一同）+ plangere（拍打、拍胸哀号）	a statement that something is wrong, or an illness	意见箱里抽出十几张纸，八张写的是同一部电梯	抱怨/投诉/疾病	The hotel received three complaints last week. | A chest complaint kept him at home.	the chest-beating put into words and handed over – 那份拍着胸口的不好受，写成一件递上去的东西	抱怨：说出来的那份不好受|投诉：正式递上去的那一件|疾病：身上不舒服的那一处，也是同一种说自己难受	
W	refusal	noun	/rɪˈfjuːzl/	fundere	re-（往回）+ fus（倒）+ -al → 把递来的东西倒回去这件事 → 拒绝	英语 refuse 加 -al；refuse ← 古法语 refuser ← 拉丁语 refundere：re-（往回）+ fundere（倒出）——PIE *ǵʰewd-「倒」那一支	an act of saying no to something offered or requested	请帖原样退回，信封上另贴一张字条，只有两行客气话	拒绝/谢绝	His refusal surprised everyone at the table. | She gave a polite refusal by letter.	the no handed back when something is offered – 东西递过来，把不接受原样递回去	拒绝：明确说不接受|谢绝：同一个不接受，说得客气些	
W	expenditure	noun	/ɪkˈspendɪtʃə/	pend	ex-（出去）+ pend（称量）→ expendere：称出银子付出去 → 付出去的那笔量	中世纪拉丁语 expenditura ← 拉丁语 expenditus / expendere：ex（出）＋pendere（称量、付出）	the total amount of money or effort that is spent	账本最后一行写着这个月从库房里搬出去的银钱总数	支出/花费/消耗	The company cut its expenditure last year.|Public expenditure on health rose sharply.	money weighed out and paid away – 称出来付出去的那一份	支出：从账上称出去、不再回来的钱|花费：为一件事付出去的钱数|消耗：不只是钱，体力和时间也这么一份份称出去	
W	expense	noun	/ɪkˈspens/	pend	ex-（出去）+ pens（称量）→ 称出来交出去的那一笔	古法语 espense（花掉的钱）← 晚期拉丁语 expensa ← 拉丁语 expendere：ex（出）＋pendere（称量）	the money that something costs you, or a cost you have to bear	出差回来把一叠票据摊在桌上，一张张加起来交给财务	费用/开支/代价	The trip was worth the expense.|She won at the expense of her health.	what a thing weighs out of your purse – 一件事从你钱袋里称走的那一份	费用：办一件事要交出去的钱数|开支：一段时间里陆续交出去的那些钱|代价：交出去的不是钱而是别的东西，如健康	
W	independence	noun	/ˌɪndɪˈpendəns/	pend	in-（不）+ de-（往下）+ pend（挂）→ 不从别的东西上垂下来	法语 indépendance ← in-（不）＋dépendance ← 拉丁语 dependere：de（往下）＋pendere（挂）	the state of not being controlled or supported by others	一盏灯自己立在地上，不靠墙，也没从房梁上垂下来	独立/自主	The colony won its independence in 1947.|She values her financial independence.	not hanging from anything else – 不从别的东西上垂下来	独立：不挂在别人身上，自己站得住|自主：自己的事自己定，不用等上头点头	
W	independent	adjective	/ˌɪndɪˈpendənt/	pend	in-（不）+ de-（往下）+ pend（挂）→ 不吊在谁身上的	法语 indépendant ← in-（不）＋dépendant ← 拉丁语 dependens（正挂着的）← dependere	not relying on or controlled by other people or things	两根柱子各自扎在土里，抽掉一根，另一根照样站着	独立的/自主的/无党派的	She has been independent since she was eighteen.|Two independent teams checked the data.	standing without hanging on another – 不吊在别人身上也站得住	独立的：不靠别人支撑，自己立着|自主的：自己决定自己的事，不受人指派|无党派的：不挂靠任何一方的旗号	
W	indispensable	adjective	/ˌɪndɪˈspensəbl/	pend	in-（不）+ dispens（按份称出去、分派，← pendere 称量）+ -able → 这一份免不掉、划不掉	中世纪拉丁语 indispensabilis（不可豁免的）← in-（不）＋dispensare（按份称出、分派）：dis（分开）＋pendere（称量）	so necessary that you cannot manage without it	清点行李时把这一件挑出来放回箱底，别的都能扔	不可缺少的/必不可少的	Water is indispensable to life.|She became indispensable to the team.	the one share that cannot be weighed away – 唯一不能从分派里划掉的那份	不可缺少的：抽掉它整件事就散了|必不可少的：非有它不行，找不到替代	
W	pendulum	noun	/ˈpendjələm/	pend	pend（挂）+ -ulum（小东西）→ pendulus：吊着自己晃的那一件	拉丁语 pendulus（悬着的、摆动的）← pendere（悬挂）	a weight hung from a fixed point that swings freely back and forth	一根线吊着铜块，推一下就左右来回，每次都过同一个最低点	摆/钟摆	The pendulum of the old clock swung slowly.|Public opinion swings like a pendulum.	a weight left hanging so that it swings – 吊在一点上、自己来回晃的一块重物	摆：吊在一点上来回晃动的那件重物|钟摆：钟里靠这个来回来定时间的那一根	
W	pension	noun	/ˈpenʃn/	pend	pens（称量）+ -io → pensio：按期称出银子付给你的那一份	古法语 pencion（付款）← 拉丁语 pensio（付款、分期支付）← pendere（称量、付钱）	money paid regularly to someone who has retired from work	每月同一天，柜台里数出同样厚的一叠钞票，交给不再上班的人	养老金/退休金	He lives on a small pension.|She pays into a pension every month.	a fixed amount weighed out to you each period – 每期按定量称给你的那一笔	养老金：年纪大了以后按期领到的那笔钱|退休金：不再上班后由原单位或国家按期付的钱	
W	ponder	verb	/ˈpɒndə/	pend	pond（重量，← pendere 称量）+ -er → 把事情放到秤上一遍遍称	古法语 ponderer（衡量）← 拉丁语 ponderare（称重、掂量）← pondus（重量）← pendere（称量）	to think about something carefully for a long time	两个选择摆在眼前，他坐着不动，来回比这个重还是那个重	沉思/仔细考虑/掂量	She pondered the question for a while.|He pondered over what to do next.	putting a matter on the scales in your head – 把事情放到心里的秤上称	沉思：把一件事放在心里久久称量|仔细考虑：一条条比过轻重再定|掂量：在几样里反复比，挑分量合适的那个	
W	spend	verb	/spend/	pend	ex-（出）+ pend（称量）→ expendere：称出银子付出去 → 钱和时间都这么一份份付掉	古英语 -spendan（用掉，见于 forspendan）← 拉丁语 expendere：ex（出）＋pendere（称量、付出）	to pay out money, or to use up time on something	手伸进口袋掏出几枚硬币放到柜台上，口袋跟着轻了	花费/度过/用尽	They spend too much on food.|We spent the summer by the sea.	to weigh out what you have and hand it over – 把自己有的称出来交出去	花费：把钱称出去交给别人|度过：时间也这么一份份用出去，如过完一个夏天|用尽：把手上那点量全付光	
W	species	noun	/ˈspiːʃiːz/	spect	spec（看）+ -ies → species：看上去的那副样子 → 样子相同的归成一类	拉丁语 species（外观、样子、类别）← specere（看）	a group of living things that look alike and can breed together	标本柜同一格里的几只鸟，喙的弧度和羽色几乎一模一样	物种/种类	This species of frog lives only here.|Many species are dying out.	the look shared by all of one kind – 同一类共有的那副模样	物种：外形相同、彼此能繁育的一群生物|种类：泛指长得一样、被归到一起的一批东西	
W	specific	adjective	/spəˈsɪfɪk/	spect	speci（样子、类，← specere 看）+ -fic（造成）→ 只落在这一类上，不涉别的	晚期拉丁语 specificus（成一类的）← species（类别、样子）＋-ficus（造成…的）	clearly stated and applying to one thing only	他不说哪天都行，直接伸手指着日历上那一格	具体的/特定的/明确的	Give me a specific example.|The drug works on one specific virus.	pinned to one kind and no other – 只钉在这一类上，不涉其余	具体的：细到能指出是哪一个|特定的：单指这一个，不是同类里随便哪个|明确的：说到位了，不给人猜的余地	
W	specimen	noun	/ˈspesɪmən/	spect	spec（看）+ -men（用来做某事的东西）→ 取出来专给人看的那一件	拉丁语 specimen（用来看的样品、标志）← specere（看）	a single example of something, taken so that it can be examined	玻璃管里封着一小段取下来的东西，贴好标签送去化验	样本/标本/样品	The doctor took a blood specimen.|Each specimen is kept in a jar.	the one piece taken out to be looked at – 取出来专供人细看的那一件	样本：从整体里取一小份拿去查|标本：处理好、长期留着供人看的那件|样品：拿来代表一批货给人过目的一件	
W	speculate	verb	/ˈspekjəleɪt/	spect	specula（瞭望塔，← specere 看）+ -ate → 站塔上往远处望 → 看不清也先说出个说法	拉丁语 speculari（观察、远望）← specula（瞭望塔）← specere（看）	to guess about something without enough facts, or to risk money hoping for profit	站在塔顶往远处望，那边只有一团影子，他张口就说那是什么	推测/思索/投机	The papers speculated about her reasons.|He speculated in land and lost money.	watching from a height and guessing at what is far off – 站高处远望，看不清就先下判断	推测：证据不全就先给出一个说法|思索：在心里远望，把可能的情形一个个想过|投机：拿钱去赌一个要等很久才见输赢的走势	
W	suspicion	noun	/səˈspɪʃn/	spect	su-/sub-（从下往上）+ spic（看，← specere）→ suspicere：暗暗从下往上打量 → 心里存下的那点不放心	盎格鲁法语 suspecioun（后依拉丁语改拼）← 拉丁语 suspicio（暗中打量、猜忌）← suspicere：sub（从下）＋specere（看）	a feeling that someone has done something wrong, without proof	他嘴上应着，眼睛却从下往上把对方扫了一遍	怀疑/嫌疑	She looked at him with suspicion.|He was arrested on suspicion of theft.	a sidelong look that keeps something back – 从底下打量一眼，心里留着一个疑	怀疑：心里存着事情不对，却拿不出证据|嫌疑：别人看你像是干了那件事的那种处境	
W	suspicious	adjective	/səˈspɪʃəs/	spect	sub-（从下）+ spic（看，← specere）+ -ous → 老在暗中打量人的，或引人这么打量的	古法语 sospecious ← 拉丁语 suspiciosus（多疑的、可疑的）← suspicio ← suspicere：sub（从下）＋specere（看）	feeling that something is wrong, or making other people feel that	半夜有人在别人车边蹲着，路过的都要多看他两眼	可疑的/多疑的/怀疑的	A suspicious man waited by the gate.|She was suspicious of his story.	either doing the sidelong looking or drawing it – 要么在暗中打量别人，要么招来这种打量	可疑的：样子招人从底下打量，觉得不对|多疑的：自己老在暗中打量别人|怀疑的：眼下就对某件事存着疑	
W	management	noun	/ˈmænɪdʒmənt/	manus	man（手，← manus）+ -age + -ment → maneggiare 本是用手驯马 → 把一摊事拿在手里打理	manage（← 意大利语 maneggiare 驯马、经手打理 ← 拉丁语 manus 手）＋-ment	the work of controlling and organizing a business or a group of people	一个人手里攥着几十根缰绳，马往哪边走全看他松紧	管理/经营/管理层	The factory needs better management.|Management refused to meet the union.	keeping the reins of a thing in your own hand – 把一摊事的缰绳收在自己手里	管理：把人和事拿在手里安排，松紧由你|经营：日常打理一门生意，让它转得下去|管理层：手里握着这些缰绳的那批人	
W	manager	noun	/ˈmænɪdʒə/	manus	man（手，← manus）+ -age + -er → 缰绳握在他手里的那个人	manage（← 意大利语 maneggiare 驯马、经手打理 ← 拉丁语 manus 手）＋-er	the person in charge of running a business or part of one	车间里出了岔子，所有人都回头看门口站着的那个人	经理/管理者/主管	Ask the manager for a refund.|She is the manager of two shops.	the one whose hand holds the reins – 缰绳在他手里的那个人	经理：一家店或一个部门的负责人|管理者：手里管着人和事的那种人|主管：某一摊具体事务归他管	
W	maneuver	noun / verb	/məˈnuːvə/	manus	manu（用手，← manus）+ opera（活儿）→ manuopera：手上的活 → 靠手上功夫一寸寸挪	法语 manœuvre（手上的活、操作）← 中世纪拉丁语 manuopera：manu（用手）＋opera（活儿）	a careful or clever movement, or to move something with skill	车位只比车长半尺，他打了七八把方向才把车塞进去	机动/巧妙移动/花招	He maneuvered the car into the space.|The army began a night maneuver.	shifting a thing by handwork, inch by inch – 靠手上功夫把东西一寸寸挪到位	机动：部队按计划挪动位置的那种行动|巧妙移动：在窄处一点点把东西挪进去|花招：把局面一点点挪到对自己有利，多含贬义	
W	permanent	adjective	/ˈpɜːmənənt/			拉丁语 permanens（一直留着的）← permanere：per（贯穿到底）＋manere（停留、不走）	lasting for a very long time, or meant never to change	墙上那块牌子二十年没换过，钉子早锈进砖里	永久的/长期的/固定的	She found a permanent job.|The damage to the wall is permanent.	staying on all the way through – 从头到尾一直留在原处	永久的：一直留着，不打算取消|长期的：很长一段时间里都不变，如长期职位|固定的：位置或身份定死了，不再挪动	
W	activate	verb	/ˈæktɪveɪt/	ag	act（驱动、做，← agere）+ -ive + -ate → 把停着的东西推成动着的	active（← 拉丁语 activus 能动的 ← actus ← agere 驱动、做）＋-ate	to make something start working or take effect	按下开关，原本安静的机器灯亮起来，风扇跟着转了	激活/启动/使活跃	Press this button to activate the alarm.|Heat activates the chemical in the tube.	pushing a thing from still into motion – 把停着的东西推成动着的	激活：让原本闲着的东西开始起作用|启动：从关着的状态转到开始运转|使活跃：让人或反应变得活跃起来	
W	agency	noun	/ˈeɪdʒənsi/	ag	ag（驱动、办事，← agere）+ -ent（正在办的）+ -cy → 替你去动手办事的那一方	中世纪拉丁语 agentia（办事、代办）← agens（正在做的人）← agere（驱动、做）	a business that acts for other people, or the power to act	你不出门，柜台后的人替你把票订好、把手续跑完	代理机构/中介/作用力	She booked the trip through an agency.|He acted through the agency of a friend.	the party that does the acting for you – 替你去动手办事的那一方	代理机构：受你委托去办事的公司或部门|中介：在两方之间跑腿、促成事情的那一方|作用力：促使事情发生的那股推动	
W	ambiguous	adjective	/æmˈbɪɡjuəs/	ag	ambi-（两边）+ ig（驱动，← agere）→ ambigere：往两边都赶 → 两头都说得通	拉丁语 ambiguus（两义的）← ambigere：ambi（两边）＋agere（驱动、赶）	having more than one possible meaning, so it is not clear	路口那块牌子两头都写着字，站在下面的人不知该往哪边走	含糊的/有歧义的/模棱两可的	His answer was deliberately ambiguous.|The wording is ambiguous here.	driving both ways at once, so neither is settled – 同时朝两边赶，哪边都没定下	含糊的：话没说定，听的人抓不住|有歧义的：一句话能读出两个意思|模棱两可的：故意两边都留口子，谁也不得罪	
W	donate	verb	/dəʊˈneɪt/	dare-give	don（给，← dare）+ -ate → 把东西白交出去，不要回报	拉丁语 donare（赠送）← donum（礼物）← dare（给）	to give money or goods to a person or organization that needs them	他把一箱衣服搬到收集点，签个名就走，收条也不要	捐赠/捐款/献	She donated a thousand pounds to the school.|Many people donate blood here.	putting a thing into other hands and asking nothing back – 把东西交出去，不要回报	捐赠：把财物无偿交给需要的一方|捐款：交出去的是钱|献：血、器官、力气这类也这么交出去	
W	pardon	noun / verb	/ˈpɑːdn/	dare-give	per-（彻底）+ don（给，← dare）→ perdonare：把该追的整个送掉 → 不再向你追讨	古法语 pardoner（宽恕）← 中世纪拉丁语 perdonare：per（彻底）＋donare（给）← dare（给）	to forgive someone, or an official decision to free them from punishment	判决书还摊在桌上，长官提笔在末尾签了一行，人当天走出大门	原谅/赦免/请再说一遍	Pardon me for interrupting you.|The governor pardoned two prisoners.	giving the debt away instead of collecting it – 把该追的那笔整个送掉	原谅：不再追究对方的过失|赦免：官方正式免掉刑罚|请再说一遍：口语里说 pardon，是请对方把话再给你一次	
W	update	noun / verb	/ˌʌpˈdeɪt/	dare-give	up（往前）+ date（日期，← 拉丁语 data「给出于某日」← dare 给）→ 把日子挪到今天	up（往上、往前）＋date（日期）；date ← 古法语 date ← 晚期拉丁语 data（文书末尾「给出于某日某地」的那个词）← dare（给）	to add the newest information to something, or the newest information itself	表格右上角原先印着去年的日子，他划掉，改写成今天	更新/最新消息	Please update your address here.|Here is an update on the storm.	bringing a thing forward to today's date – 把东西的日子挪到今天	更新：把旧内容换成当下的|最新消息：换上来的那批新内容本身	
W	committee	noun	/kəˈmɪti/	mit-miss	com-（一起）+ mit（送、交，← mittere）+ -ee → 事情被送到手上的那几个人	commit（← 拉丁语 committere：com（一起）＋mittere（送、交付））＋-ee，本指受托的人	a small group of people chosen to deal with a particular matter	长桌两侧坐着七个人，一份卷宗推到中间，散会前得给出说法	委员会	The committee meets every Tuesday.|A committee was set up to review the case.	the few into whose hands a matter is sent – 事情被送到他们手上的那一小群人		
W	compromise	noun / verb	/ˈkɒmprəmaɪz/	mit-miss	com-（一起）+ pro-（预先）+ mis（送出，← mittere）→ 双方各把话送出去 → 各让一步	古法语 compromis ← 拉丁语 compromissum（双方共同许下、交付仲裁）← compromittere：com（一起）＋promittere（送出承诺）← mittere（送）	an agreement in which each side gives up part of what it wanted	两人各把要价写在纸上推到中间，最后签的数字谁都不满意	妥协/折中/危及	They reached a compromise after long talks.|Poor sleep compromises your health.	each side sending out part of its own claim – 双方各把自己那一部分让出去	妥协：各放弃一部分要求，换来能成的结果|折中：在两个方案中间取一个|危及：连该守的那份也让了出去，安全或原则因此受损	
W	promise	noun / verb	/ˈprɒmɪs/	mit-miss	pro-（预先）+ mis（送出，← mittere）→ 提前把话送出去，收不回来	拉丁语 promissum（许下的话）← promittere：pro（预先）＋mittere（送出）	to say firmly that you will do something, or the words you say	他说完伸出手，两只手一握，这句话就再收不回来了	承诺/答应/前景	He promised to call me tonight.|She shows real promise as a singer.	words sent out ahead, past taking back – 提前送出去、收不回来的话	承诺：预先把我会做这句话送出去|答应：对别人的请求点头，把话给出去|前景：一个人身上先露出来的那份可期待	
W	aspire	verb	/əˈspaɪə/	spirare	a-/ad-（朝向）+ spire（呼吸，← spirare）→ 朝那个方向使劲喘气 → 心一直往高处	拉丁语 aspirare（向…吹气、渴求）：ad（朝向）＋spirare（呼吸）	to want very much to achieve something important	他仰头看着那座山顶，胸口一起一伏，脚已经在往上迈	渴望/追求/立志	She aspires to become a judge.|Many aspire to own a house.	breathing hard towards a thing far above – 朝着高处那样东西使劲喘气	渴望：心里一直朝着那样东西|追求：不只是想，还一直往那边使劲|立志：把这口气定成长远的目标	
W	spirit	noun	/ˈspɪrɪt/	spirare	spir（呼吸，← spirare）+ -itus → spiritus：一口气 → 人活着靠这口气，气也是人的劲头	古法语 espirit ← 拉丁语 spiritus（呼吸、气、灵）← spirare（呼吸）	the part of a person that is not the body, or the mood and energy someone shows	老人躺着不动了，医生说最后那口气刚才走的	精神/灵魂/情绪/烈酒	The team played with great spirit.|He was in low spirits all week.	the breath that keeps a body alive – 让身子活着的那口气	精神：人身上那股看不见的劲头|灵魂：离开身体后仍被认为存在的那一部分|情绪：这口气的高低，如兴致低落|烈酒：蒸出来的那一口，旧时被看作酒的气	
W	spiritual	adjective	/ˈspɪrɪtʃuəl/	spirare	spirit（气、灵，← spirare 呼吸）+ -al → 归于那口气，不归于肉身的	古法语 spirituel ← 拉丁语 spiritualis（属于气与灵的）← spiritus ← spirare（呼吸）	relating to the human soul rather than to the body or material things	屋里没有一件值钱东西，那人却说这些年过得比谁都饱	精神的/心灵的/宗教的	She turned to spiritual matters late in life.|The song has a spiritual quality.	belonging to the breath, not to the flesh – 归于那口气，不归于肉身	精神的：与内在那一面有关，不涉物质|心灵的：关乎内心的感受与需要|宗教的：与信仰、教会那一套有关	
W	contradiction	noun	/ˌkɒntrəˈdɪkʃn/	dict	contra-（对着）+ dict（说，← dicere）+ -ion → 对着人家的话反着说 → 两句话对撞	拉丁语 contradictio（反驳）← contradicere：contra（对着）＋dicere（说）	a statement or fact that goes against another one	同一份报告里，前一页写着涨了，后一页写着跌了	矛盾/反驳/相互抵触	There is a contradiction in his story.|Her actions are a contradiction of her words.	one saying set against another – 一句话正对着另一句说	矛盾：两句话或两件事对撞，不能同时成立|反驳：当面把对着的那句话说出来|相互抵触：几项规定彼此顶着，照哪条都违另一条	
W	dictionary	noun	/ˈdɪkʃənri/	dict	dict（说，← dicere）+ -ion（说出来的词）+ -ary（存放处）→ 一条条说法收在一处	中世纪拉丁语 dictionarium（词语集）← 拉丁语 dictio（说出来的话、措辞）← dicere（说）	a book that lists words in order and explains what they mean	厚厚一本按字母排下来，每个词后头跟着一小段怎么说、怎么用	词典/字典	Look the word up in a dictionary.|She keeps a dictionary on her desk.	a store of how each word is said and used – 把每个词怎么说都收在一处	词典：收词并解释词义和用法的书|字典：以单字为条目的那一种	
W	graduate	noun / verb	/ˈɡrædʒuət/	gradus	grad（一步、一级，← gradus）+ -ate → 把台阶一级级走到最后那一级	中世纪拉丁语 graduatus（已授学位的）← graduari（升级、授级）← 拉丁语 gradus（一步、等级）	to finish a course of study at a school or university, or a person who has done so	最上一级台阶上站着穿黑袍的人，回头看走过的那一级一级	毕业/毕业生/分等级	She graduated from Oxford last year.|Every graduate gets a printed certificate.	having climbed the last of the steps – 把台阶一级级走到了最后一级	毕业：把规定的级数走完，课程算结束|毕业生：走完这些台阶的那个人|分等级：把刻度或程度一级一级标出来	
W	undergraduate	noun	/ˌʌndəˈɡrædʒuət/	gradus	under-（在…之下）+ grad（一级，← gradus）→ 还停在最后那一级之下的人	under-（在…之下）＋graduate（← 中世纪拉丁语 graduatus 已授学位的 ← 拉丁语 gradus 一步、等级）	a student at a university who has not yet taken a first degree	楼梯还剩几级没上，他抱着书从穿黑袍的人身边挤过去	本科生/大学在读生	He is an undergraduate at Leeds.|Undergraduates share the same library.	still below the last step – 还停在最后那一级之下	本科生：还没拿到第一个学位的在校生|大学在读生：书还没念完，仍停在台阶中段	
W	nationality	noun	/ˌnæʃəˈnæləti/	nasci	nat（出生，← nasci）+ -io（一同生出来的一群）+ -ality → 你生在哪一群人里，就算哪一国的人	法语 nationalité ← 拉丁语 natio（同一出生的一群人、族）← natus（生出的）← nasci（出生）	the status of belonging to a particular country	边检翻开证件，看的是他生在哪里、算哪一国的人	国籍/民族	She has dual nationality and two passports.|People of many nationalities work here.	which people you were born among – 你生在哪一群人当中	国籍：法律上算你属于哪个国家|民族：同源同俗的一群人，如少数民族	
W	natural	adjective	/ˈnætʃrəl/	nasci	nat（出生，← nasci）+ -ura（生成的样子）+ -al → 生来就那样，不是后来做上去的	古法语 naturel ← 拉丁语 naturalis（天生的）← natura（生就的样子）← nasci（出生）	existing or happening without being made or changed by people	山坡上的林子没人栽过，树间距歪歪扭扭，落叶自己烂成土	自然的/天然的/正常的	The park is a natural woodland.|It is natural to feel nervous.	the way a thing comes out when born, not made – 生下来就是那样，不是后来做出来的	自然的：不经人手，本来就有的|天然的：材料原样，没加工也没添东西|正常的：合乎本性、不值得奇怪，如紧张	
W	employment	noun	/ɪmˈplɔɪmənt/	plic	em-/in-（进去）+ ploy（折，← plicare）→ implicare：把人折进事里 → 被用上、有活干	古法语 emploier（使用、雇用）← 拉丁语 implicare（缠进、卷入）：in（进）＋plicare（折）	the state of having paid work, or the act of giving people work	早上七点，一群人拿着卡在厂门口排队打卡	就业/雇用/工作	Employment rose slowly last year.|She is looking for full-time employment.	being folded into someone's work – 被折进一摊活里，成了其中一层	就业：有活干、被折进生产里的那种状态|雇用：把人折进自己的事里，付钱让他做|工作：具体那一份被雇来做的活	
W	unemployment	noun	/ˌʌnɪmˈplɔɪmənt/	plic	un-（不）+ em-（进去）+ ploy（折，← plicare）→ 没被折进任何一摊活里	un-（不）＋employment（← 古法语 emploier ← 拉丁语 implicare：in（进）＋plicare（折））	the state of having no paid work, or the number of people in that state	上午十点，一排人坐在职介所的长椅上，手里捏着号码纸	失业/失业率	Unemployment fell to five percent.|He faced six months of unemployment.	not folded into any work at all – 没被折进任何一摊活里	失业：想干活却没被任何一摊活收进去|失业率：这样的人在劳动人口里占的比例	
W	socialism	noun	/ˈsəʊʃəlɪzəm/	socius	soci（同伴、结伴，← socius）+ -al + -ism → 要紧的东西与同伴共同占有的那一套主张	法语 socialisme ← social（← 拉丁语 socialis 结伴的 ← socius 同伴）＋-isme	a political system in which the community owns the main means of production	厂门口的牌子写着这厂不归一个人，做工的人共同占份	社会主义	He wrote a long book about socialism.|The party moved away from socialism.	holding the main things in common with your fellows – 要紧的东西与同伴共同占有		
W	sociology	noun	/ˌsəʊsiˈɒlədʒi/	socius	soci（结伴、人相联，← socius）+ -logia（…之学）→ 研究人怎么结成群的学问	法语 sociologie ← 拉丁语 socius（同伴）＋希腊语 -logia（…之学）	the study of how human societies are organized and how people behave in groups	研究者拿着问卷进村，记下谁跟谁走得近、谁说话管用	社会学	She teaches sociology at a small college.|His sociology paper won a prize.	the study of how people join into groups – 研究人怎样彼此相联成群的学问		
W	discharge	noun / verb	/dɪsˈtʃɑːdʒ/	carrus	dis-（去掉）+ charge（装车，← carrus 货车）→ 把装上车的卸回地上	古法语 deschargier（卸下）← 晚期拉丁语 discarricare：dis（去掉）＋carricare（装车）← 拉丁语 carrus（四轮货车）	to let someone leave, to send something out, or to carry out a duty	车斗后板一放，一车砖哗啦倒空，车身轻了就走	排出/解雇/出院/履行	The factory discharges waste into the river.|He was discharged from hospital on Friday.	taking the load back off the cart – 把装上车的东西卸回地上	排出：把积在里面的东西放出去|解雇：把某人从岗位这辆车上卸下来|出院：医院把你从名册上卸下，让你走|履行：把肩上那份担子卸掉，等于办完	
W	acclaim	noun / verb	/əˈkleɪm/	claimare	ac-/ad-（朝向）+ claim（喊，← clamare）→ 冲着他喊出来 → 众人喊出来的那份好	拉丁语 acclamare（向…欢呼）：ad（朝向）＋clamare（喊、大声宣告）	strong public praise, or to praise someone publicly	幕布落下，台下站起来一片人，冲着台上又喊又拍	称赞/喝彩/欢呼	The film won critical acclaim.|Crowds acclaimed the young champion.	shouting out towards someone in praise – 冲着某个人喊出好来	称赞：公开说他好，多见于评论界|喝彩：当场喊出来的那种叫好|欢呼：一群人同时喊，声势连成一片	
W	dome	noun	/dəʊm/	domus	dom（屋、家，← domus）→ 意大利语 duomo：神的屋子、大教堂 → 教堂顶上那个半圆的盖	中古法语 dome ← 意大利语 duomo（大教堂，即神的屋子）← 拉丁语 domus（房屋）	a rounded roof shaped like half a ball	抬头看，屋顶不平也不尖，是扣过来的半个球，正中开着天窗	圆顶/穹顶	The cathedral has a huge dome.|Snow settled on the glass dome.	the rounded roof over a god's house – 神的屋子上那个半圆的顶	圆顶：像半个球那样扣在建筑上的顶|穹顶：从屋里抬头看到的那面拱形天花	
W	file	noun / verb	/faɪl/	filum	fil（线，← filum）→ 法语 filer：把文书一张张串到线上 → 串在一处的那一叠，也指串成的一列	古法语 filer（把文书串到线上保存）← fil（线）← 拉丁语 filum（线）；与表「锉刀」的 file 不同源	a set of papers or computer records kept together, or to put them in order	一根细绳穿过一叠单据的角，挂在钉子上，要查就顺着绳翻	文件/档案/纵列/归档	Save the file before you close it.|They walked in single file.	papers strung on one thread and kept in order – 一叠纸串在同一根线上，按次序留着	文件：串在一处的那一份材料，电脑里也这么叫|档案：长期存着、按次序排好的那一叠|纵列：像串在一根线上那样一个跟一个排成的队|归档：把新的一张按位置串进去	
